,sizeLoansUSD,sizeCollateralUSD,sizeReimbursementsUSD,numLoansUser,maximumDebt,atTimeMaximumDebtCollateralProvided,numReimbursementsUser,ratioCollateralToLoans,averageOfDailyCollateralToDebt,numTransactionsUser,timeStampFirstAnyTransactionAccount,borrowerAgeInYears,loan_repay_percentage,label,numLoans,firstLoanTimestamp,lastLoanTimestamp,numReimbursements,firstReimbursementTimestamp,lastReimbursementTimestamp,numSupplyCollateral,firstSupplyCollateralTimestamp,lastSupplyCollateralTimestamp,numWithdrawCollateral,firstWithdrawCollateralTimestamp,lastWithdrawCollateralTimestamp
63,1935489.841969823,3612141.8073218837,1776859.74711183,13,1638229.3817676322,2702574.2317521614,13,1.8662675096479282,7.139691584606109,59,1622728854.0,-50.908688578132924,1.0,3,13,1662994481,1672066043,13,1667209091,1668425483,21,1662994318,1674223463,11,1668323891,1668425027
64,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,9,1511949515.0,-47.39589878234399,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,38391.56387517503,49485.8755962944,10552.785943641833,23,34657.121570879746,43594.42617444191,7,1.28897785349904,1.4169130138431254,71,1657389829.0,-52.00778088533739,1.0,3,23,1663110574,1674851891,7,1669651547,1674852491,24,1663028456,1672462523,14,1669651775,1674850799
66,9988.865630299611,35761.18725945943,9988.865630299611,1,9988.865630299611,35761.18725945943,1,3.5801049471507196,1.0,4,1662676030.0,-52.17540521943176,0.0,0,1,1663443767,1663443767,1,1663443983,1663443983,1,1663443767,1663443767,1,1663444043,1663444043
67,34755.63028076795,77824.86861419558,34682.84026271284,1,34755.63028076795,77824.86861419558,1,2.239201763440901,2.2548048262426863,4,1664333363.0,-52.22795890410959,0.0,0,1,1664429651,1664429651,1,1665063899,1665063899,1,1664424191,1664424191,1,1665063995,1665063995
68,1999.211250085517,2930.6945773519456,2010.7822123843714,2,1999.3220837137624,2971.6609814551425,1,1.4659254129480235,1.5487216712989038,5,1637578729.0,-51.379575025367835,1.0,3,2,1664858303,1665091631,1,1668618851,1668618851,2,1664858303,1665091511,1,1668618851,1668618851
69,3315.6374988423836,5856.020438459692,0.0,6,3314.6132567356135,6258.771698258353,0,1.7661823527162586,2.493462216318547,12,1625578607.0,-50.99905365296804,1.0,3,6,1668607007,1673441519,0,0,0,4,1668468911,1671467015,1,1674331439,1674331439
70,510690.8242493277,875654.1919783226,0.0,1,510690.8242493277,875654.1919783226,0,1.714646416969524,1.9463470073587283,3,1572929097.0,-49.3295486428209,1.0,3,1,1668571523,1668571523,0,0,0,1,1668571427,1668571427,0,0,0
71,199.90559861021103,394.2446445914354,200.52182220662343,1,200.20918485010367,393.1531611338938,1,1.972154093393649,1.94235965731107,6,1660009792.0,-52.090859367072554,1.0,3,1,1664532311,1664532311,1,1666859855,1666859855,2,1664532215,1664589635,1,1666860191,1666860191
72,14007.065667173498,42664.92758161556,8988.999790346845,3,10005.093485267926,20681.374269931763,2,3.045957561375877,3.810879401172799,8,1611944575.0,-50.566721334348046,1.0,3,3,1669792007,1670532431,2,1669797875,1671219899,2,1669791911,1670532335,1,1669797911,1669797911
73,99.91858101139213,1308.9316252145843,99.91864296091236,1,99.91858101139213,1308.9316252145843,1,13.09998212509991,1.0,5,1520578260.0,-47.66951449137493,0.0,0,1,1664740319,1664740319,1,1664740847,1664740847,1,1664740319,1664740319,1,1664740847,1664740847
74,1200.7383388192438,2153.821820122216,1200.3241089088153,1,1200.7383388192438,2153.821820122216,1,1.793747855373882,1.8089370281952528,5,1616841340.0,-50.72199673389142,1.0,3,1,1672572599,1672572599,1,1672913099,1672913099,1,1672571639,1672571639,1,1672913255,1672913255
75,250142.7638946229,841360.5846160802,125137.54834960536,11,124934.67036090522,453254.9833013345,3,3.3635215807022836,4.227777756030927,26,1661719553.0,-52.145075532724505,1.0,3,11,1663926539,1674302291,3,1665608171,1668078059,10,1663926395,1672414439,2,1665608327,1668078359
76,100.1852519828619,199.36330119815446,100.14041774257561,1,100.1852519828619,199.36330119815446,1,1.9899465964537213,1.9899465964537213,6,1520330423.0,-47.66165563165906,0.0,0,1,1663914707,1663914707,1,1664033099,1664033099,1,1663910255,1663910255,1,1664033099,1664033099
77,49917.84840831694,122740.41933093239,49980.324185507474,1,49917.84840831694,122740.41933093239,1,2.458848352736339,2.35454046138891,3,1560350763.0,-48.93069228817859,1.0,3,1,1662965097,1662965097,1,1663436183,1663436183,1,1662965097,1662965097,1,1663436183,1663436183
78,118535.10952778593,225210.64972047007,19971.67998614519,14,98540.599628481,112471.17540354244,1,1.8999488895539278,2.2581176617220717,24,1597319419.0,-50.102960679857944,1.0,3,14,1668374999,1674629711,1,1669331579,1669331579,5,1668374939,1669635671,2,1669331939,1669635707
79,18707.640828195446,33728.23494706997,5397.119481076668,16,13315.927472191019,16101.929617185078,5,1.8029122569124834,1.4930534610792476,56,1629408765.0,-51.12050716641299,1.0,3,16,1664939963,1674060443,5,1666324007,1672718339,29,1664937995,1673642435,16,1664940119,1673464115
80,1200.6969579256381,2435.2957602895276,1202.3359389639218,1,1200.6969579256381,2435.2957602895276,2,2.0282351381124686,2.2452024459120468,5,1630588059.0,-51.15790233384069,1.0,3,1,1671617651,1671617651,2,1672603655,1673412383,1,1671617651,1671617651,1,1673412479,1673412479
81,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0,1682161931.0,-52.79329908675799,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1100.5607313324886,2383.543843013518,1102.5250470512933,2,1101.1503035764958,2735.518058669751,1,2.1657540335167833,2.4506233410804588,6,1619689826.0,-50.812321632420094,1.0,3,2,1673513351,1673637575,1,1674461471,1674461471,2,1673513231,1673760131,1,1674461519,1674461519
83,100.10457305240872,122.24126153825554,100.10458406391176,1,100.10457305240872,131.85216116854463,1,1.22113563657334,1.0,10,1673640431.0,-52.52308409436834,0.0,0,1,1673812571,1673812571,1,1673812667,1673812667,3,1673642579,1673811863,0,0,0
84,100.10569378048046,243.8192322410485,100.10569378048046,1,100.10569378048046,243.8192322410485,1,2.435618025641121,1.0,3,1598847175.0,-50.15140550481989,0.0,0,1,1668951863,1668951863,1,1668952343,1668952343,1,1668951863,1668951863,0,0,0
85,273646.5506589805,597722.3944750169,0.0,8,273234.3600146749,733091.8390012735,0,2.1842862372487972,2.8111346836213698,10,1587335521.0,-49.786373351090816,1.0,3,8,1669138619,1674999407,0,0,0,3,1669138619,1669139195,0,0,0
86,73801.66093520488,168052.76484623886,897.4402950429953,5,72977.96737338108,233413.91859922168,2,2.2770864871697527,3.483209702922898,18,1619888225.0,-50.81861282343988,1.0,3,5,1671179723,1674555311,2,1671180095,1671261851,10,1671179015,1671358331,0,0,0
